County,MedianHouseholdIncome,TotalPopulation,PopAbove20,Citizens,MedianAge,PctMale,PctWhite,PctCollegePlusEdu,PctUninsured,PctForeignBorn,PctNonCitizen,PctDisability,PctUnemployed,PctSSI,PctOASDI,MedianHousingCosts,PctReligious,WoodardAmericanNation,LandAreaSqMiles,NCHS_UrbanRural2013,State,FoundryCounty,MexicanBorderCounty
1075,35450,14133,10832,14056,43.7,48.3%,88.0%,12.9%,13.2%,0.8%,0.5%,23.9%,5.7%,4.5%,0.018,428,0.781292012,Greater Appalachia,604.8462673,Noncore (nonmetropolitan),1,FALSE,FALSE
1077,43125,92737,70792,91830,41.1,47.9%,88.5%,18.8%,11.2%,1.9%,1.0%,15.7%,6.1%,2.9%,0.011,631,0.582971198,Greater Appalachia,667.6996219,Small metro,1,FALSE,FALSE
1079,40003,33586,25389,33450,41.7,48.9%,82.5%,12.6%,11.4%,0.7%,0.4%,20.5%,6.7%,4.4%,0.017,544,0.533525874,Greater Appalachia,690.6774367,Small metro,1,FALSE,FALSE
1081,44570,150982,110434,144677,30.3,49.2%,71.2%,24.2%,10.4%,5.5%,4.2%,11.6%,5.1%,2.2%,0.008,834,0.377501954,Deep South,607.5519546,Small metro,1,FALSE,FALSE
1083,49570,88805,65959,86653,39,50.3%,83.2%,20.6%,12.0%,4.6%,2.4%,13.3%,5.3%,2.4%,0.009,708,0.484409662,Greater Appalachia,559.9394283,Medium metro,1,FALSE,FALSE
1085,25876,10742,7950,10733,39.5,47.7%,25.9%,13.9%,13.5%,0.2%,0.1%,20.1%,10.4%,7.5%,0.031,591,0.578756284,Deep South,715.9114614,Medium metro,1,FALSE,FALSE
1087,30738,20018,14778,19939,37.5,45.8%,17.4%,15.8%,12.2%,1.3%,0.4%,17.6%,7.7%,5.6%,0.021,574,0.478719153,Deep South,608.9081848,Noncore (nonmetropolitan),1,FALSE,FALSE
1089,57993,346438,257838,336912,37.8,48.9%,71.4%,32.1%,11.7%,5.4%,2.7%,12.6%,5.2%,2.0%,0.007,855,0.487331066,Greater Appalachia,801.6087314,Medium metro,1,FALSE,FALSE
1091,32042,20306,15043,20106,42.2,46.5%,47.0%,14.9%,11.9%,1.1%,1.0%,23.3%,7.5%,7.5%,0.029,565,0.799960603,Deep South,976.8818273,Noncore (nonmetropolitan),1,FALSE,FALSE
1093,32299,30387,23342,30352,44.1,49.4%,95.3%,14.6%,11.6%,1.7%,0.1%,23.7%,6.7%,3.5%,0.014,460,0.619607069,Greater Appalachia,742.29201,Noncore (nonmetropolitan),1,FALSE,FALSE
1095,38983,94318,68786,88101,38.8,49.2%,93.7%,16.4%,16.8%,7.7%,6.6%,17.4%,5.5%,3.3%,0.013,626,0.646133294,Greater Appalachia,565.8420183,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1097,43809,414251,303196,407456,37,47.8%,61.5%,19.5%,13.9%,3.1%,1.6%,14.9%,6.9%,3.7%,0.013,816,0.611061892,Deep South,1229.399983,Medium metro,1,FALSE,FALSE
1099,27257,22217,16225,22217,41.1,47.9%,56.1%,13.6%,16.8%,0.2%,0.0%,14.0%,9.0%,4.4%,0.017,506,0.673313229,Deep South,1025.687412,Noncore (nonmetropolitan),1,FALSE,FALSE
1101,44369,228138,165651,221590,35.2,47.5%,40.0%,24.3%,12.6%,4.3%,2.9%,15.8%,5.9%,4.3%,0.014,848,0.701132648,Deep South,784.3634402,Medium metro,1,FALSE,FALSE
1103,45751,119786,89264,115147,39.5,49.1%,84.7%,19.7%,14.5%,4.6%,3.9%,16.4%,5.6%,2.8%,0.01,650,0.69507288,Greater Appalachia,579.3597313,Small metro,1,FALSE,FALSE
1105,24537,10038,7151,10022,36.3,46.3%,31.3%,11.7%,14.2%,0.5%,0.2%,24.9%,10.1%,10.6%,0.037,509,0.568838414,Deep South,719.6635181,Noncore (nonmetropolitan),1,FALSE,FALSE
1107,30330,19856,15121,19783,42.4,48.6%,56.8%,11.3%,12.6%,0.4%,0.4%,23.6%,6.9%,6.3%,0.025,490,0.679895246,Deep South,881.4302466,Small metro,1,FALSE,FALSE
1109,32825,33155,24886,32266,31.3,47.7%,58.6%,17.0%,10.6%,3.2%,2.7%,15.8%,6.6%,4.9%,0.018,601,0.505353642,Deep South,672.1039391,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1111,36924,22648,16987,22405,42.8,49.0%,78.8%,15.4%,14.2%,1.8%,1.1%,16.5%,5.9%,3.8%,0.013,557,0.579918757,Deep South,580.5494225,Noncore (nonmetropolitan),1,FALSE,FALSE
1113,37049,58302,42218,57677,34.8,48.6%,56.0%,17.3%,15.8%,2.4%,1.1%,17.5%,5.6%,3.3%,0.011,754,0.631024665,Deep South,641.1538487,Medium metro,1,FALSE,FALSE
1115,51859,85864,64373,85115,39.8,50.2%,88.3%,16.6%,10.3%,1.8%,0.9%,17.1%,5.5%,2.4%,0.009,751,0.46315103,Deep South,631.9045278,Large fringe metro,1,FALSE,FALSE
1117,70187,203530,148634,196019,37.9,48.7%,82.4%,32.4%,8.8%,5.5%,3.7%,10.9%,4.5%,1.3%,0.004,1087,0.421107453,Deep South,785.3689514,Large fringe metro,1,FALSE,FALSE
1119,19501,13341,9940,13157,36.7,44.3%,25.3%,13.2%,19.0%,1.5%,1.4%,20.4%,7.4%,8.5%,0.033,510,0.372535792,Deep South,903.8894246,Noncore (nonmetropolitan),1,FALSE,FALSE
1121,35155,81437,61408,80614,40.9,48.5%,66.3%,14.7%,12.3%,1.3%,1.0%,18.5%,7.0%,5.1%,0.018,596,0.540356349,Deep South,736.7771797,Micropolitan (nonmetropolitan),1,FALSE,FALSE
1123,39206,41153,31331,40838,42.8,47.6%,71.1%,17.8%,11.7%,1.5%,0.8%,17.3%,5.8%,3.9%,0.015,587,0.702378927,Deep South,716.5205874,Noncore (nonmetropolitan),1,FALSE,FALSE
1125,46565,200458,148011,195752,31.9,48.3%,67.0%,21.2%,10.2%,3.5%,2.3%,11.6%,5.5%,3.2%,0.011,843,0.520383322,Deep South,1321.677169,Small metro,1,FALSE,FALSE
1127,35843,65923,49891,65285,42.4,48.6%,93.0%,13.3%,13.3%,1.3%,1.0%,24.8%,7.3%,5.1%,0.019,520,0.66441151,Greater Appalachia,791.1936164,Large fringe metro,1,FALSE,FALSE
1129,42811,16997,12450,16942,40.9,49.9%,65.8%,11.7%,15.4%,0.7%,0.3%,24.1%,8.6%,4.2%,0.02,497,0.60504795,Deep South,1080.206611,Noncore (nonmetropolitan),1,FALSE,FALSE
1131,23750,11235,8084,11235,40.2,47.9%,27.4%,12.1%,16.0%,0.0%,0.0%,17.3%,13.7%,13.0%,0.049,471,0.634089898,Deep South,888.4982709,Noncore (nonmetropolitan),1,FALSE,FALSE
1133,33194,24130,18557,23945,43.9,49.2%,98.4%,13.9%,13.2%,1.2%,0.8%,25.5%,7.5%,4.2%,0.018,481,0.620555325,Greater Appalachia,612.9792324,Noncore (nonmetropolitan),1,FALSE,FALSE
2013,61518,3304,2833,2278,42.4,66.5%,24.5%,15.4%,56.2%,45.1%,31.1%,7.8%,2.7%,0.4%,#VALUE!,803,0.224273608,Far West,6981.959324,Noncore (nonmetropolitan),2,FALSE,FALSE
2016,84306,5684,4380,4472,36.8,59.7%,36.3%,13.7%,23.5%,35.3%,21.3%,6.3%,3.7%,0.3%,#VALUE!,1210,0.240147783,Far West,4390.259529,Noncore (nonmetropolitan),2,FALSE,FALSE
2020,78326,299107,216119,286252,32.5,51.2%,73.2%,26.3%,14.9%,9.8%,4.3%,9.8%,5.1%,2.0%,0.006,1428,0.34370309,Far West,1706.607039,Medium metro,2,FALSE,FALSE
2050,51012,17776,10879,17623,26.7,52.6%,15.4%,7.9%,25.2%,1.8%,0.9%,9.6%,13.2%,2.3%,0.011,663,0.506919442,First Nation,40570.12226,Noncore (nonmetropolitan),2,FALSE,FALSE
2060,79750,970,711,965,39.7,57.0%,65.2%,17.6%,19.7%,1.6%,0.5%,12.0%,9.5%,0.9%,#VALUE!,982,0.302061856,Far West,503.8500985,Noncore (nonmetropolitan),2,FALSE,FALSE
2068,81544,2060,1593,1940,35.9,54.7%,92.9%,28.6%,24.4%,6.7%,5.8%,8.7%,10.5%,0.6%,#VALUE!,696,0.247087379,First Nation,12747.59559,Noncore (nonmetropolitan),2,FALSE,FALSE
2070,54173,4979,3249,4945,29.7,52.0%,24.0%,12.9%,29.0%,1.7%,0.7%,12.1%,10.0%,2.0%,0.007,770,0.502510544,First Nation,18568.73547,Noncore (nonmetropolitan),2,FALSE,FALSE
2090,71068,99705,72119,97513,30.4,53.6%,84.6%,24.9%,12.3%,4.8%,2.2%,10.1%,5.4%,1.1%,0.003,1368,0.281871521,Far West,7343.298658,Small metro,2,FALSE,FALSE
2100,58750,2560,2060,2420,45.5,54.2%,89.6%,32.2%,25.4%,7.1%,5.5%,12.7%,9.7%,1.8%,0.007,870,0.342578125,Far West,2320.202394,Noncore (nonmetropolitan),2,FALSE,FALSE
2105,52419,2128,1705,2072,47.8,53.1%,60.0%,24.2%,28.9%,5.4%,2.6%,16.4%,6.4%,2.1%,0.011,635,0.297462406,Left Coast,6550.750455,Noncore (nonmetropolitan),2,FALSE,FALSE
2110,85746,32531,24338,31477,37,51.2%,76.2%,31.3%,14.3%,7.8%,3.2%,9.5%,4.4%,1.7%,0.006,1424,0.275706249,Left Coast,2702.005971,Micropolitan (nonmetropolitan),2,FALSE,FALSE
2122,63684,57221,42611,56539,40.5,52.4%,89.3%,21.1%,20.7%,2.8%,1.2%,13.7%,7.7%,1.8%,0.007,975,0.311826078,Far West,16075.08145,Noncore (nonmetropolitan),2,FALSE,FALSE
2130,64222,13699,10210,13352,38.7,51.4%,76.4%,21.1%,18.3%,7.8%,2.5%,13.3%,6.0%,1.8%,0.006,1135,0.309949631,Left Coast,4858.405428,Micropolitan (nonmetropolitan),2,FALSE,FALSE
2150,70887,13973,9669,13002,32.4,53.4%,58.1%,21.1%,24.3%,16.9%,6.9%,11.6%,4.3%,1.1%,0.005,1260,0.273241251,Far West,6550.350526,Noncore (nonmetropolitan),2,FALSE,FALSE
2158,38229,7914,4439,7866,23,53.1%,10.7%,3.5%,28.0%,0.9%,0.6%,10.2%,17.8%,2.6%,0.013,463,#VALUE!,First Nation,17081.36181,NA,2,FALSE,FALSE
2164,50781,1474,980,1432,31.1,49.6%,25.9%,9.8%,35.0%,3.6%,2.8%,13.0%,10.5%,1.3%,#VALUE!,568,0.778833107,First Nation,23450.24397,Noncore (nonmetropolitan),2,FALSE,FALSE
2170,72983,96178,66975,94543,34.6,52.2%,90.9%,19.0%,18.1%,3.8%,1.7%,11.3%,7.7%,1.7%,0.005,1244,0.277152779,Far West,24607.93948,Medium metro,2,FALSE,FALSE
2180,48868,9854,6199,9770,27.8,53.5%,26.5%,10.0%,27.6%,1.7%,0.9%,10.9%,12.1%,2.2%,0.01,852,0.452912523,First Nation,22962.95159,Noncore (nonmetropolitan),2,FALSE,FALSE
2185,72576,9667,7023,9314,33.9,63.8%,37.7%,13.9%,22.3%,6.5%,3.7%,9.1%,6.7%,0.3%,0.001,782,0.159201407,First Nation,88839.0339,Noncore (nonmetropolitan),2,FALSE,FALSE
2188,63648,7732,4762,7694,26.1,53.9%,15.8%,7.4%,32.0%,0.9%,0.5%,10.7%,16.7%,1.5%,0.006,886,0.308458355,First Nation,35635.35899,Noncore (nonmetropolitan),2,FALSE,FALSE
2195,67935,3221,2359,3093,40.4,53.0%,82.3%,23.3%,21.8%,6.1%,4.0%,13.4%,7.6%,1.1%,0.006,941,0.367587706,Left Coast,2917.583557,Noncore (nonmetropolitan),2,FALSE,FALSE
2198,48523,6376,4656,6321,39.7,54.4%,56.1%,13.8%,33.2%,1.6%,0.9%,15.2%,11.0%,1.8%,0.008,566,0.275878294,Left Coast,5262.038156,Noncore (nonmetropolitan),2,FALSE,FALSE
2220,70376,8943,6661,8585,38.9,51.3%,75.5%,28.0%,17.1%,8.4%,4.0%,10.4%,4.0%,1.0%,0.005,1080,0.323716874,Left Coast,2870.382919,Noncore (nonmetropolitan),2,FALSE,FALSE
2230,69318,999,846,926,43.7,52.8%,82.6%,31.9%,24.8%,9.7%,7.3%,6.5%,12.8%,#VALUE!,#VALUE!,1131,0.27027027,Far West,452.3197619,Noncore (nonmetropolitan),2,FALSE,FALSE
2240,62670,7029,4861,6719,35.8,55.6%,85.1%,18.2%,21.6%,10.4%,4.4%,13.5%,9.5%,2.1%,0.008,783,0.283966425,Far West,24767.60918,Noncore (nonmetropolitan),2,FALSE,FALSE
2261,78810,9617,7060,9457,36.6,53.4%,79.4%,24.1%,22.6%,4.2%,1.7%,9.9%,8.7%,1.2%,0.004,897,0.346157845,Far West,34238.28127,Noncore (nonmetropolitan),2,FALSE,FALSE
2275,48603,2387,1918,2332,50.4,51.4%,79.7%,19.7%,21.0%,4.6%,2.3%,22.2%,6.8%,1.4%,0.005,646,0.383745287,Left Coast,2541.490656,Noncore (nonmetropolitan),2,FALSE,FALSE
2282,72500,643,477,635,42.5,57.1%,56.6%,14.2%,21.3%,6.2%,1.2%,8.1%,6.9%,#VALUE!,#VALUE!,888,0.253499222,Left Coast,7649.454447,Noncore (nonmetropolitan),2,FALSE,FALSE
2290,38491,5644,3914,5601,35,53.8%,28.8%,10.0%,37.8%,1.1%,0.8%,16.5%,15.8%,3.3%,0.015,479,0.697554926,First Nation,145492.9706,Noncore (nonmetropolitan),2,FALSE,FALSE
4001,31757,72124,48166,71387,33.4,49.4%,25.2%,11.0%,23.6%,1.5%,1.0%,15.1%,11.0%,6.0%,0.024,295,0.484249348,Far West,11197.46412,Noncore (nonmetropolitan),4,FALSE,FALSE
4003,45075,129647,96726,123202,40,51.0%,84.8%,23.1%,10.3%,10.4%,5.0%,15.2%,5.9%,2.4%,0.01,750,0.409342291,El Norte,6164.574884,Small metro,4,FALSE,TRUE
4005,50234,136701,96991,132109,30.8,49.4%,65.5%,25.1%,18.1%,5.4%,3.4%,11.0%,5.7%,1.9%,0.007,969,0.291943731,Far West,18618.66394,Small metro,4,FALSE,FALSE
4007,39751,53165,41244,52103,48.6,49.7%,81.5%,18.5%,14.9%,4.2%,2.0%,20.9%,7.1%,2.7%,0.009,634,0.3789147,Far West,4757.992856,Micropolitan (nonmetropolitan),4,FALSE,FALSE
4009,45964,37407,25874,37024,32,53.6%,79.4%,13.5%,11.8%,2.2%,1.0%,12.0%,6.2%,2.1%,0.008,724,0.549709947,El Norte,4622.704671,Micropolitan (nonmetropolitan),4,FALSE,FALSE
4011,51628,9023,6173,8760,33,52.6%,91.0%,13.1%,13.3%,4.6%,2.9%,13.6%,6.7%,1.2%,0.005,400,0.492297462,El Norte,1841.977992,Noncore (nonmetropolitan),4,FALSE,FALSE
4012,34466,20335,16376,18538,54.8,51.0%,75.7%,12.8%,13.5%,12.6%,8.8%,18.9%,5.6%,2.4%,0.01,362,0.241406442,El Norte,4499.627056,Noncore (nonmetropolitan),4,FALSE,FALSE
4013,54229,4018143,2895387,3646421,35.6,49.4%,82.3%,25.3%,15.1%,14.8%,9.3%,10.4%,4.4%,1.5%,0.004,1045,0.371186391,El Norte,9199.191446,Large central metro,4,FALSE,FALSE
4015,38488,203362,160589,196395,49.2,50.3%,92.1%,14.5%,15.1%,6.6%,3.4%,19.7%,6.3%,2.3%,0.008,704,0.219977184,Far West,13311.09086,Small metro,4,FALSE,FALSE
4017,35921,107656,74149,106474,35.7,50.1%,50.8%,14.3%,17.5%,2.2%,1.1%,17.4%,7.6%,4.4%,0.015,512,0.435739764,Far West,9949.889038,Micropolitan (nonmetropolitan),4,FALSE,FALSE
4019,46162,998537,746228,930657,38,49.2%,81.0%,25.6%,13.1%,12.7%,6.8%,14.1%,4.8%,2.0%,0.007,874,0.391118206,El Norte,9187.214054,Medium metro,4,FALSE,TRUE
4021,49477,389772,283508,371055,37.6,52.0%,81.9%,18.2%,12.4%,8.5%,4.8%,12.9%,5.3%,1.6%,0.005,919,0.209389079,El Norte,5365.848054,Large fringe metro,4,FALSE,FALSE
4023,40140,47073,32367,39933,36.5,47.9%,81.1%,17.2%,17.7%,33.5%,15.2%,10.2%,11.7%,3.0%,0.014,720,0.39621439,El Norte,1236.921992,Micropolitan (nonmetropolitan),4,FALSE,TRUE
4025,44748,215996,172976,208125,51.3,48.9%,93.7%,26.1%,13.3%,6.7%,3.6%,18.1%,4.5%,1.7%,0.007,831,0.253810256,Far West,8123.510789,Small metro,4,FALSE,FALSE
4027,40743,202987,142867,171321,33.8,51.1%,79.1%,13.4%,18.6%,25.9%,15.6%,11.1%,19.4%,2.1%,0.01,792,0.360643785,El Norte,5514.027495,Small metro,4,FALSE,TRUE
5001,36411,18731,13934,18404,41.4,47.7%,73.5%,12.5%,12.5%,2.0%,1.7%,21.5%,3.0%,4.0%,0.015,596,0.72489456,Deep South,988.8012763,Noncore (nonmetropolitan),5,FALSE,FALSE
5003,34263,21229,15809,20906,41.4,48.0%,71.5%,12.3%,14.2%,2.3%,1.5%,22.2%,5.7%,4.5%,0.018,514,0.919685336,Deep South,925.3485965,Noncore (nonmetropolitan),5,FALSE,FALSE
5005,35396,41040,33069,40717,51.5,48.3%,98.0%,19.7%,10.7%,2.3%,0.8%,21.8%,3.9%,2.5%,0.011,583,0.515545809,Greater Appalachia,554.2836351,Micropolitan (nonmetropolitan),5,FALSE,FALSE
5007,56239,238198,167842,218861,35,49.4%,90.6%,23.1%,12.9%,11.4%,8.1%,9.2%,2.6%,1.5%,0.005,870,0.457682264,Greater Appalachia,847.482003,Medium metro,5,FALSE,FALSE
5009,39251,37227,27929,37098,41.4,48.7%,98.4%,15.5%,12.7%,1.2%,0.3%,19.7%,3.1%,3.1%,0.013,587,0.737824697,Greater Appalachia,590.3310234,Micropolitan (nonmetropolitan),5,FALSE,FALSE
5011,33701,11206,8340,10554,40.6,49.4%,61.2%,11.9%,15.9%,6.5%,5.8%,22.4%,4.7%,4.6%,0.016,512,0.839639479,Deep South,649.2363684,Noncore (nonmetropolitan),5,FALSE,FALSE
5013,36899,5245,4120,5234,44.9,51.3%,77.5%,12.4%,13.9%,0.6%,0.2%,29.2%,4.2%,3.1%,0.014,490,0.458531935,Deep South,628.56427,Micropolitan (nonmetropolitan),5,FALSE,FALSE
5015,36897,27635,20857,26174,44.2,49.0%,96.2%,15.8%,17.5%,8.2%,5.3%,17.3%,2.7%,2.2%,0.009,569,0.392364755,Greater Appalachia,629.9796422,Noncore (nonmetropolitan),5,FALSE,FALSE
5017,28913,11353,8393,11104,43.4,49.1%,43.4%,10.5%,14.0%,2.9%,2.2%,23.2%,5.7%,8.2%,0.029,506,0.553333921,Deep South,644.3100902,Noncore (nonmetropolitan),5,FALSE,FALSE
5019,35031,22751,16646,22414,34,47.4%,74.6%,18.0%,12.1%,2.7%,1.5%,17.7%,3.8%,3.5%,0.013,542,0.68669509,Deep South,866.0742394,Micropolitan (nonmetropolitan),5,FALSE,FALSE
5021,32552,15400,11796,15347,43.8,49.3%,97.8%,10.9%,15.6%,1.3%,0.3%,22.6%,4.6%,4.3%,0.019,469,0.46487013,Greater Appalachia,639.4478783,Noncore (nonmetropolitan),5,FALSE,FALSE
